,CNO_high_ideal_allMethod2,CNO_high_ideal_noppBe7Method2,CNO_high__smear0.1all_allMethod2,CNO_high__smear0.1all_noppBe7Method2,CNO_low_ideal_allMethod2,CNO_low_ideal_noppBe7Method2,CNO_low__smear0.1all_allMethod2,CNO_low__smear0.1all_noppBe7Method2,pep_high_ideal_allMethod2,pep_high_ideal_noppBe7Method2,pep_high__smear0.1all_allMethod2,pep_high__smear0.1all_noppBe7Method2,pep_low_ideal_allMethod2,pep_low_ideal_noppBe7Method2,pep_low__smear0.1all_allMethod2,pep_low__smear0.1all_noppBe7Method2
"(0.001, 0.9)",38.68861092824226,18.740438010856682,39.735170382835506,26.229394829786607,73.93548611836835,33.402820906131915,75.90770623807522,47.42653917910449,139.83950102616726,40.39570106761566,133.5443234836703,35.62841982578824,130.38921113689094,34.47932072508344,124.33289229955015,30.648708785651678
"(0.01, 0.9)",26.19572693348943,12.742424928665251,26.745698293138,17.900233422667934,49.96426457531815,22.639479179461986,51.45003315335797,32.21901656915725,95.15999826982137,27.473962571196093,90.50127799183613,24.501226630572713,88.82606700321249,23.465520463464777,85.07341057762197,21.10023943272861
"(0.1, 0.9)",13.20293453724605,6.540025267026532,13.560803196393813,8.984008712099502,25.4810857020731,11.669289779757486,26.052861148613562,16.345635388038215,48.044647967945046,13.875325226995168,45.92448498386697,12.484704737578303,44.90015119062618,11.952388703507772,42.6959130277878,10.921957216621589
"(0.001, 0.95)",45.245563026228105,21.930149483402943,46.67905160390515,30.569531249999994,86.90680272108843,39.536966071595465,89.23258077975056,55.535359584768166,164.37857036411503,47.53509142796743,157.3916822907789,42.03283800431167,153.64352469959942,40.942195026689234,145.7874614415432,35.98547421113792
"(0.01, 0.95)",31.68406094576458,15.702291565090196,32.67279942279942,21.772431111714397,61.080157143841745,27.412005457025916,63.018256080202974,39.39375681413897,115.82862706913338,33.52561408117693,109.94157303370785,29.73594797265909,107.13626961303666,28.778003925274398,103.18257001083668,25.60329619312906
"(0.1, 0.95)",17.10708067324433,8.640275968543445,17.698523489932885,11.791546469334001,33.21581476627347,15.246088766534609,34.02236258108569,21.446663555762946,62.789305183005936,18.254091762811903,59.77738548731766,16.368128710974908,58.39290848107328,15.913143081555177,55.98900648125358,13.873174015483002
"(0.001, 0.8)",30.889143426294822,15.198489587306433,31.819878381212,21.200954940381454,59.526611666788355,26.675355950821753,61.288239407750375,38.18149355690111,112.80468232349261,32.577682278388814,107.29519875226573,28.939640901566282,105.04918866245816,27.89419500889344,100.7188986232791,24.970186061873832
"(0.01, 0.8)",19.999462681984497,9.748398462524024,20.768297455968693,13.76017865410278,38.844419506223225,17.41968012185834,39.84874680306906,24.685685685685687,73.10317508315696,21.221193254700747,69.7987984229301,18.798790700315102,68.12539672258566,18.317687747035574,65.42265122993744,16.25450618999765
"(0.1, 0.8)",9.073953197694607,4.529613537617196,9.33152465166131,6.3627196652719675,17.47986307737819,8.047546254809975,18.008607658716834,11.26859071729958,32.80737743045865,9.569491079070383,31.21507422915874,8.57785240396429,30.868184918927437,8.310379953142508,29.432127013775396,7.44785022442712
