,CJPL_high__nobgMethod1,CJPL_high__lessbgMethod1,CJPL_high__lessbgMethod2,CJPL_high_NR_Argon_tot_smear0.1_nobgMethod1,CJPL_high_NR_Argon_tot_smear0.1_lessbgMethod1,CJPL_high_NR_Argon_tot_smear0.1_lessbgMethod2,CJPL_low__nobgMethod1,CJPL_low__lessbgMethod1,CJPL_low__lessbgMethod2,CJPL_low_NR_Argon_tot_smear0.1_nobgMethod1,CJPL_low_NR_Argon_tot_smear0.1_lessbgMethod1,CJPL_low_NR_Argon_tot_smear0.1_lessbgMethod2,Kamioka_high__nobgMethod1,Kamioka_high__lessbgMethod1,Kamioka_high__lessbgMethod2,Kamioka_high_NR_Argon_tot_smear0.1_nobgMethod1,Kamioka_high_NR_Argon_tot_smear0.1_lessbgMethod1,Kamioka_high_NR_Argon_tot_smear0.1_lessbgMethod2,Kamioka_low__nobgMethod1,Kamioka_low__lessbgMethod1,Kamioka_low__lessbgMethod2,Kamioka_low_NR_Argon_tot_smear0.1_nobgMethod1,Kamioka_low_NR_Argon_tot_smear0.1_lessbgMethod1,Kamioka_low_NR_Argon_tot_smear0.1_lessbgMethod2,LNGS_high__nobgMethod1,LNGS_high__lessbgMethod1,LNGS_high__lessbgMethod2,LNGS_high_NR_Argon_tot_smear0.1_nobgMethod1,LNGS_high_NR_Argon_tot_smear0.1_lessbgMethod1,LNGS_high_NR_Argon_tot_smear0.1_lessbgMethod2,LNGS_low__nobgMethod1,LNGS_low__lessbgMethod1,LNGS_low__lessbgMethod2,LNGS_low_NR_Argon_tot_smear0.1_nobgMethod1,LNGS_low_NR_Argon_tot_smear0.1_lessbgMethod1,LNGS_low_NR_Argon_tot_smear0.1_lessbgMethod2,SURF_high__nobgMethod1,SURF_high__lessbgMethod1,SURF_high__lessbgMethod2,SURF_high_NR_Argon_tot_smear0.1_nobgMethod1,SURF_high_NR_Argon_tot_smear0.1_lessbgMethod1,SURF_high_NR_Argon_tot_smear0.1_lessbgMethod2,SURF_low__nobgMethod1,SURF_low__lessbgMethod1,SURF_low__lessbgMethod2,SURF_low_NR_Argon_tot_smear0.1_nobgMethod1,SURF_low_NR_Argon_tot_smear0.1_lessbgMethod1,SURF_low_NR_Argon_tot_smear0.1_lessbgMethod2,SNOlab_high__nobgMethod1,SNOlab_high__lessbgMethod1,SNOlab_high__lessbgMethod2,SNOlab_high_NR_Argon_tot_smear0.1_nobgMethod1,SNOlab_high_NR_Argon_tot_smear0.1_lessbgMethod1,SNOlab_high_NR_Argon_tot_smear0.1_lessbgMethod2,SNOlab_low__nobgMethod1,SNOlab_low__lessbgMethod1,SNOlab_low__lessbgMethod2,SNOlab_low_NR_Argon_tot_smear0.1_nobgMethod1,SNOlab_low_NR_Argon_tot_smear0.1_lessbgMethod1,SNOlab_low_NR_Argon_tot_smear0.1_lessbgMethod2
"(0.001, 0.9)",,344.05168921273025,657.354935662628,,466.0322715497848,765.8018114222433,,344.08600670481957,656.958679233506,,466.1620800933025,764.2948586017793,,274.34283870050757,497.71324924957264,,370.9520779081848,607.9677243220289,,274.3918206580187,497.52344534776273,,371.08978211558724,606.8920576510274,,196.9661161181877,340.7582365966584,,265.9689645743476,478.48186548505123,,197.01725627715328,341.1602682816958,,266.0804141296881,478.49876249496367,,135.34914006061302,222.79676184244266,,181.89650947881748,331.27824846471015,,135.42112271160116,222.7963290793634,,182.0134189343428,331.5861705982847,,132.32425854588894,220.96228042304028,,178.77615748651968,321.9045793900202,,132.39347642261546,220.94604621772885,,177.96159255386303,325.41782898726507
"(0.01, 0.9)",,282.58327535853573,456.6246553280789,,381.2574235943118,590.1719964793899,,282.60741794790164,457.3541729930643,,381.3486414155734,590.313414367858,,226.98274505070788,370.2211641495319,,305.71323590885925,415.70666707091533,,227.01727715939182,370.4907035429494,,305.81020589505397,417.13306727819645,,165.1776211221098,230.3357008466604,,222.15103934509656,394.7788309636652,,165.2138195954094,230.41714318281123,,222.2298311446622,393.76856596968025,,114.92199225877594,183.20386029411765,,153.91530588438266,227.46539229174337,,114.97313735476851,183.6758641249441,,153.99828398361268,227.41589418071334,,112.52249373925083,179.96181546169367,,151.28084479221468,224.7778987040732,,112.57169740100072,180.38104111669,,150.77811916837737,225.5633627348383
"(0.1, 0.9)",,208.3599952818815,256.8192013012027,,279.16239355277935,331.8594753399371,,208.37256109509812,256.38559806650704,,279.20982242435775,331.6107973032772,,169.51591077520786,217.2114628676956,,226.75861055720222,290.6082406575948,,169.5339183768683,217.76740678010958,,226.80912595561426,290.7509187846162,,126.25932668891465,175.06420245336378,,168.64708439393996,223.13063262900386,,126.27827103464192,175.22455297136577,,168.68827534729056,223.0029511173889,,89.70875529046582,132.97389157884746,,119.45558326323797,170.0716669146246,,89.73561218261105,133.02299048184676,,119.49911500462542,169.98238462033603,,88.05716481348608,131.37118254695005,,117.41864854613085,164.9390601562675,,88.08301291136549,131.2767832373244,,117.27281075060478,166.93460514445403
"(0.001, 0.95)",,475.6697164553771,761.4972088004877,,642.0655562726909,977.0122655122652,,475.71115399896684,761.9389233146549,,642.2221380986632,976.9422003831096,,381.75069571270905,627.8060759803169,,514.3994919744391,743.2021747885622,,381.80995237767775,627.9574149825994,,514.5659111489723,743.2578589634663,,277.3670805238345,447.15474884843167,,373.2112880397238,521.2660656052177,,277.42917068802274,446.49702937616894,,373.34645429984977,521.3806859551638,,192.70023525363365,278.0049532195926,,258.18637515855306,433.13994325817515,,192.7879283331381,277.8557087258574,,258.3286646355732,433.42870819122817,,188.64403095405498,269.5157593123209,,253.76603557093134,418.1927034308156,,188.7283911726714,269.8982306047053,,252.88649469480373,422.5847910204342
"(0.01, 0.95)",,402.86257090385277,511.18392992216275,,541.8208805307012,755.2389837139923,,402.89239700167724,511.10771140645534,,541.9334968897539,753.2609439542441,,325.48093133104675,460.6727757145163,,437.01558457970253,575.4196230357376,,325.5236460345882,460.15745867518075,,437.1354513725018,576.1627239519912,,239.38352885078268,323.6664246560423,,320.9420061444683,473.9410802545958,,239.42841024315345,323.6914651339333,,321.03962852657827,473.85649202733475,,168.16522810112332,216.5211217846267,,224.62630464545452,313.1287438875304,,168.22878184797685,216.229264777355,,224.7293507563239,312.9869672286416,,164.8452714304517,214.53349575795272,,220.78819652967022,301.7280823596697,,164.90642933123613,214.70803986017629,,220.2658155797719,305.77761639635264
"(0.1, 0.95)",,313.1450030104282,320.55433132347196,,418.5864523096882,505.92939936775497,,313.16128930731867,319.6984393499084,,418.6479351726847,504.63036211699136,,255.83910197169254,319.0896905746468,,341.46482274531127,341.1395083891458,,255.86243331277254,319.5896798713636,,341.5302844796609,341.38168943368123,,191.9997381207803,215.33711231678677,,255.88933868112744,285.8607142857142,,192.02426743015712,215.53350789624412,,255.9426833693529,286.2300472326511,,137.33863359079365,153.4869748364926,,182.54310419304696,212.06200165848057,,137.37338728056415,153.2124167682641,,182.59944512632345,212.24816396242522,,134.91808061396492,152.2681078315372,,179.43417108696048,208.93492275328552,,134.95152643336453,152.36706678482233,,179.33060823314295,210.2731858835969
"(0.001, 0.8)",,213.03248763933493,493.2904672507301,,290.38998305003275,589.8451720602541,,213.05861037151215,493.402611830797,,290.48901348729623,589.2539879241702,,167.88549044540167,377.36514658870465,,228.4434513275869,437.2947970940046,,167.92262115084367,377.82575696406946,,228.5480731826932,436.527715333649,,117.91462911654429,242.21459678630427,,160.27362361270977,392.79938218308104,,117.95308871210328,243.04188236865843,,160.35764075131507,393.5288179060488,,79.37913571173856,187.84541165809327,,107.28982379801984,232.17795204343236,,79.43285900067026,187.77335634014688,,107.37726501357179,232.0352280507716,,77.4104969579086,185.24483292443352,,105.44249407782964,228.36415211887436,,77.46210803925237,185.29932395329786,,104.74603467740835,229.79117711088975
"(0.01, 0.8)",,165.30799099402532,347.04064272211735,,224.36644150245837,357.9989863510997,,165.32568008777196,346.45280841241345,,224.43339605948256,359.8943441523291,,131.3249976827082,231.10235997458608,,177.92590071663838,312.5342059896217,,131.35021443338388,231.1356486194781,,177.99684066632642,312.4633893203716,,93.63529372891958,192.77829186535104,,126.69976706952498,252.5185099597911,,93.66155962202654,193.0280037576327,,126.7570490247685,252.3216374269006,,63.931211365263074,142.1718067504964,,86.07088313529856,189.0628702837543,,63.968099253932834,142.0766199613416,,86.13083179438013,188.9489790950605,,62.45357423244042,140.81679721496954,,84.59266786468363,185.35428542854288,,62.48903546590489,140.61668839634945,,84.15311369137261,186.16621829552787
"(0.1, 0.8)",,109.8656658467897,198.2330517699308,,147.89492440575103,254.3760644749026,,109.87415758836862,198.1705283072206,,147.92699249354385,254.4704279237966,,88.61573320581932,165.3873030913183,,119.08780443496232,215.87044761751966,,88.62789072879009,165.48980858905432,,119.12192673100935,215.90102138364782,,64.97820692821806,133.55271372252525,,87.19425152707656,172.99092384139544,,64.99097379123346,133.70873702794643,,87.22202578479533,173.2271017894551,,45.52204414485543,98.01080755927617,,60.85173970356346,67.74561802711239,,45.54011274269088,97.71018409052525,,60.8810405741967,67.63841939780046,,44.60868396209638,96.95601231455929,,59.81147670541903,66.75402445056886,,44.626070258980434,96.89515796253988,,59.6537433691834,67.06080752841895
