,Er_range lessbgMethod2
CJPL_high_,16.845-600.0
CJPL_high_NR_Argon_tot_smear0.1,18.35-600.0
CJPL_low_,16.845-600.0
CJPL_low_NR_Argon_tot_smear0.1,18.35-600.0
Kamioka_high_,16.489-600.0
Kamioka_high_NR_Argon_tot_smear0.1,17.962-600.0
Kamioka_low_,16.489-600.0
Kamioka_low_NR_Argon_tot_smear0.1,17.962-600.0
LNGS_high_,16.14-600.0
LNGS_high_NR_Argon_tot_smear0.1,17.582-600.0
LNGS_low_,16.14-600.0
LNGS_low_NR_Argon_tot_smear0.1,17.582-600.0
SURF_high_,15.464-600.0
SURF_high_NR_Argon_tot_smear0.1,16.845-600.0
SURF_low_,15.464-600.0
SURF_low_NR_Argon_tot_smear0.1,16.845-600.0
SNOlab_high_,15.464-600.0
SNOlab_high_NR_Argon_tot_smear0.1,16.489-600.0
SNOlab_low_,15.464-600.0
SNOlab_low_NR_Argon_tot_smear0.1,16.845-600.0
