,Er_range allDSNBMethod2,Er_range noelsebgMethod2,Er_range lessatmbgMethod2,Er_range lessatmlesselseMethod2
CJPL_high_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-13.169
CJPL_low_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-13.169
Kamioka_high_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-11.648
Kamioka_low_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-11.648
LNGS_high_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-10.302
LNGS_low_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-10.302
SURF_high_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-9.112
SURF_low_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-9.112
SNOlab_high_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-9.112
SNOlab_low_,1.0-106.138,5.577-106.138,1.0-106.138,4.932-9.112
