,Er [keV],Er_centers [keV],numu reconst [1 / (keV t yr)],numu sim [1 / (keV t yr)],nue reconst [1 / (keV t yr)],nue sim [1 / (keV t yr)],nutau reconst [1 / (keV t yr)],nutau sim [1 / (keV t yr)]
0,0.001-0.001202264434617413,0.0011011322173087065,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001202264434617413-0.001445439770745928,0.0013238521026816704,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001445439770745928-0.0017378008287493763,0.0015916202997476522,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0017378008287493763-0.0020892961308540386,0.0019135484798017074,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0020892961308540386-0.0025118864315095794,0.002300591281181809,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0025118864315095794-0.003019951720402016,0.0027659190759557976,0.0,0.0,0.0,0.0,0.0,0.0
6,0.003019951720402016-0.003630780547701014,0.0033253661340515153,0.0,0.0,0.0,0.0,0.0,0.0
7,0.003630780547701014-0.004365158322401661,0.0039979694350513375,0.0,0.0,0.0,0.0,0.0,0.0
8,0.004365158322401661-0.005248074602497723,0.004806616462449692,0.0,0.0,0.0,0.0,0.0,0.0
9,0.005248074602497723-0.00630957344480193,0.005778824023649827,0.0,0.0,0.0,0.0,0.0,0.0
10,0.00630957344480193-0.007585775750291836,0.006947674597546883,0.0,0.0,0.0,0.0,0.0,0.0
11,0.007585775750291836-0.009120108393559097,0.008352942071925466,0.0,0.0,0.0,0.0,0.0,0.0
12,0.009120108393559097-0.01096478196143185,0.010042445177495474,0.0,0.0,0.0,0.0,0.0,0.0
13,0.01096478196143185-0.013182567385564075,0.012073674673497962,0.0,0.0,0.0,0.0,0.0,0.0
14,0.013182567385564075-0.015848931924611134,0.014515749655087604,0.0,0.0,0.0,0.0,0.0,0.0
15,0.015848931924611134-0.019054607179632473,0.017451769552121806,0.0,0.0,0.0,0.0,0.0,0.0
16,0.019054607179632473-0.022908676527677734,0.020981641853655104,0.0,0.0,0.0,0.0,0.0,0.0
17,0.022908676527677734-0.02754228703338166,0.025225481780529697,0.0,0.0,0.0,0.0,0.0,0.0
18,0.02754228703338166-0.03311311214825911,0.030327699590820385,0.0,0.0,0.0,0.0,0.0,0.0
19,0.03311311214825911-0.039810717055349734,0.036461914601804424,0.0,0.0,0.0,0.0,0.0,0.0
20,0.039810717055349734-0.047863009232263824,0.043836863143806776,0.0,0.0,0.0,0.0,0.0,0.0
21,0.047863009232263824-0.057543993733715694,0.05270350148298976,0.0,0.0,0.0,0.0,0.0,0.0
22,0.057543993733715694-0.06918309709189366,0.06336354541280467,0.0,0.0,0.0,0.0,0.0,0.0
23,0.06918309709189366-0.08317637711026708,0.07617973710108036,0.0,0.0,0.0,0.0,0.0,0.0
24,0.08317637711026708-0.1,0.09158818855513354,0.0,0.0,0.0,0.0,0.0,0.0
25,0.1-0.12022644346174131,0.11011322173087065,0.0,0.0,0.0,0.0,0.0,0.0
26,0.12022644346174131-0.1445439770745928,0.13238521026816705,0.0,0.0,0.0,0.0,0.0,0.0
27,0.1445439770745928-0.17378008287493762,0.1591620299747652,0.0,0.0,0.0,0.0,0.0,0.0
28,0.17378008287493762-0.20892961308540386,0.19135484798017074,0.0,0.0,0.0,0.0,0.0,0.0
29,0.20892961308540386-0.25118864315095796,0.2300591281181809,0.0,0.0,0.0,0.0,0.0,0.0
30,0.25118864315095796-0.3019951720402016,0.2765919075955798,0.0,0.44028833163867287,0.0,0.8840015024347732,0.0,1.213509824177839
31,0.3019951720402016-0.3630780547701014,0.3325366134051515,0.0,0.8805766632773457,0.0,3.5360060097390926,0.0,2.427019648355678
32,0.3630780547701014-0.4365158322401661,0.39979694350513373,0.0,3.08201832147071,0.0,9.724016526782504,0.0,5.460794208800276
33,0.4365158322401661-0.5248074602497729,0.4806616462449695,0.0,4.843171648025401,0.0,19.44803305356501,0.0,9.708078593422712
34,0.5248074602497729-0.6309573444801936,0.5778824023649832,0.0,14.969803275714877,0.0,37.12806310226047,0.0,18.202647362667584
35,0.6309573444801936-0.7585775750291835,0.6947674597546886,2.2014416581933642,29.05902988815241,0.8840015024347732,47.73608113147775,0.0,32.158010340712735
36,0.7585775750291835-0.9120108393559097,0.8352942071925467,2.2014416581933642,33.902201536177806,9.724016526782504,97.24016526782503,3.640529472533517,65.52953050560332
37,0.9120108393559097-1.096478196143185,1.0042445177495474,11.887784954244168,53.274888128279414,31.82405408765183,98.12416677025982,20.629667011023265,76.45111892320385
38,1.096478196143185-1.3182567385564075,1.2073674673497963,38.30508485256454,80.57276468987713,87.51614874104253,175.91629898451987,60.67549120889195,100.11456049467172
39,1.3182567385564075-1.584893192461114,1.4515749655087609,74.84901637857439,82.7742063480705,163.54027795043305,141.4402403895637,95.86727611004929,120.13747259360606
40,1.584893192461114-1.9054607179632483,1.7451769552121812,104.78862293000414,72.64757472038102,219.23237260382373,130.83222236034644,151.08197311014098,98.29429575840497
41,1.9054607179632483-2.2908676527677723,2.09816418536551,103.90804626672679,40.06623817911923,179.45230499425892,90.16815324834687,140.1603846925404,52.18092243964708
42,2.2908676527677723-2.7542287033381663,2.5225481780529693,64.72238475088491,18.932398260462932,128.1802178530421,23.868040565738873,91.01323681333793,22.44993174729002
43,2.7542287033381663-3.311311214825911,3.0327699590820387,26.857588229959045,4.4028833163867285,52.156088643651614,6.188010517043412,31.551255428623815,2.427019648355678
44,3.311311214825911-3.981071705534973,3.646191460180442,8.805766632773457,0.44028833163867287,7.956013521912958,1.7680030048695463,10.314833505511633,0.0
45,3.981071705534973-4.786300923226385,4.383686314380679,1.7611533265546915,0.0,3.5360060097390926,0.0,1.8202647362667586,0.0
46,4.786300923226385-5.754399373371572,5.270350148298979,0.0,0.0,0.0,0.0,0.0,0.0
47,5.754399373371572-6.918309709189363,6.336354541280468,0.0,0.0,0.0,0.0,0.0,0.0
48,6.918309709189363-8.317637711026709,7.617973710108036,0.0,0.0,0.0,0.0,0.0,0.0
49,8.317637711026709-10.0,9.158818855513355,0.0,0.0,0.0,0.0,0.0,0.0
