,Er_range allHEPMethod2,Er_range no8BbgMethod2
CJPL_high_,1.0-18.769,14.132-18.769
CJPL_high_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
CJPL_low_,1.0-18.769,14.132-18.769
CJPL_low_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
Kamioka_high_,1.0-18.769,14.132-18.769
Kamioka_high_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
Kamioka_low_,1.0-18.769,14.132-18.769
Kamioka_low_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
LNGS_high_,1.0-18.769,14.132-18.769
LNGS_high_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
LNGS_low_,1.0-18.769,14.132-18.769
LNGS_low_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
SURF_high_,1.0-18.769,14.132-18.769
SURF_high_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
SURF_low_,1.0-18.769,14.132-18.769
SURF_low_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
SNOlab_high_,1.0-18.769,14.132-18.769
SNOlab_high_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
SNOlab_low_,1.0-18.769,14.132-18.769
SNOlab_low_NR_Argon_tot_smear0.1,6.631-30.118,22.677-30.118
