,dsnb
0,"(9.0, 13.0, 3.52, 3.55375, 1, 1)"
1,"(9.0, 13.0, 3.55375, 3.5875, 1, 1)"
2,"(9.0, 13.0, 3.5875, 3.62125, 1, 1)"
3,"(9.0, 13.0, 3.62125, 3.655, 1, 1)"
4,"(9.0, 13.0, 3.655, 3.68875, 1, 1)"
5,"(9.0, 13.0, 3.68875, 3.7225, 1, 1)"
6,"(13.0, 17.0, 3.41875, 3.4525, 1, 1)"
7,"(13.0, 17.0, 3.4525, 3.48625, 1, 1)"
8,"(13.0, 17.0, 3.48625, 3.52, 1, 1)"
9,"(13.0, 17.0, 3.52, 3.55375, 1, 1)"
10,"(13.0, 17.0, 3.55375, 3.5875, 1, 1)"
11,"(13.0, 17.0, 3.5875, 3.62125, 1, 1)"
12,"(13.0, 17.0, 3.62125, 3.655, 1, 1)"
13,"(13.0, 17.0, 3.655, 3.68875, 1, 1)"
14,"(13.0, 17.0, 3.68875, 3.7225, 1, 1)"
15,"(13.0, 17.0, 3.7225, 3.75625, 1, 1)"
16,"(17.0, 21.0, 3.35125, 3.385, 1, 1)"
17,"(17.0, 21.0, 3.385, 3.41875, 1, 1)"
18,"(17.0, 21.0, 3.41875, 3.4525, 1, 1)"
19,"(17.0, 21.0, 3.4525, 3.48625, 1, 1)"
20,"(17.0, 21.0, 3.48625, 3.52, 1, 1)"
21,"(17.0, 21.0, 3.52, 3.55375, 1, 1)"
22,"(17.0, 21.0, 3.55375, 3.5875, 1, 1)"
